source,id,title,url,thumbnail_url,author,published_at,views,engagement_score,outlier_score,hook_type,emotional_triggers,virality_confidence,replication_notes
youtube,YQUwbBF0wz0,"2 FREE Tools To Spy On Any Competitor | Traffic, Sales, Ads",https://www.youtube.com/watch?v=YQUwbBF0wz0,https://img.youtube.com/vi/YQUwbBF0wz0/hqdefault.jpg,D2C Decoded By Nikhil,2026-02-01T12:30:00Z,20822,20822,11.14,number,,definite,Hook pattern: number | Use elements: specificity
youtube,Gvjw4L6qZ30,I Automated My Dropshipping Business in 8 Minutes (2026 Strategy),https://www.youtube.com/watch?v=Gvjw4L6qZ30,https://img.youtube.com/vi/Gvjw4L6qZ30/hqdefault.jpg,James Pelton,2026-01-19T21:09:21Z,16789,16789,8.12,number,,likely,"Hook pattern: number | Use elements: speed, specificity"
youtube,P967C9nwb9o,How to Auto-Ungate 100 Brands in 15 Minutes (NEW AMAZON UNGATING METHOD),https://www.youtube.com/watch?v=P967C9nwb9o,https://img.youtube.com/vi/P967C9nwb9o/hqdefault.jpg,Fields of Profit,2026-01-26T18:49:32Z,4202,4202,6.71,number,,likely,"Hook pattern: number | Use elements: speed, specificity"
youtube,WbJzB4KVVd4,$250M CEO Explains How to Build A Brand in 2026,https://www.youtube.com/watch?v=WbJzB4KVVd4,https://img.youtube.com/vi/WbJzB4KVVd4/hqdefault.jpg,Hormozi Highlights,2026-01-28T02:55:33Z,22275,22275,4.63,number,greed,possible,"Hook pattern: number | Use elements: money, specificity"
youtube,FuaJV8vk7QM,Get an Inside Look at the Direct-to-Consumer Brand Quince,https://www.youtube.com/watch?v=FuaJV8vk7QM,https://img.youtube.com/vi/FuaJV8vk7QM/hqdefault.jpg,TODAY,2026-01-21T17:15:00Z,55605,55605,4.41,statement,,possible,Hook pattern: statement
youtube,ZEMnUJIgtLA,Beginners Guide to Amazon FBA in 2026 (8+ Hours),https://www.youtube.com/watch?v=ZEMnUJIgtLA,https://img.youtube.com/vi/ZEMnUJIgtLA/hqdefault.jpg,Flips4Miles,2026-01-21T12:26:18Z,6632,6632,4.20,number,,possible,Hook pattern: number | Use elements: specificity
youtube,9LwMK4qU5XI,"El Secreto para GANAR DINERO con un Negocio por Internet en AMAZON FBA: Caso REAL $65,000/mes",https://www.youtube.com/watch?v=9LwMK4qU5XI,https://img.youtube.com/vi/9LwMK4qU5XI/hqdefault.jpg,Actitud Millonaria - Josue Peña,2026-01-19T21:00:09Z,11334,11334,4.01,number,"greed, curiosity",possible,"Hook pattern: number | Use elements: money, exclusivity, specificity"
youtube,nJ65s9NGlCE,I BLEW UP an AI Dropshipping Store in 30 Days (RAW Results),https://www.youtube.com/watch?v=nJ65s9NGlCE,https://img.youtube.com/vi/nJ65s9NGlCE/hqdefault.jpg,Ac Hampton,2026-01-26T13:01:26Z,16955,16955,3.73,number,,possible,Hook pattern: number | Use elements: specificity
youtube,Ew0F9lcp_U4,Cómo Vender en Amazon FBA en 2026,https://www.youtube.com/watch?v=Ew0F9lcp_U4,https://img.youtube.com/vi/Ew0F9lcp_U4/hqdefault.jpg,Rod Hilfer,2026-01-20T13:00:27Z,5298,5298,2.99,number,,unclear,Hook pattern: number | Use elements: specificity
youtube,K7wkJ55J9b0,I Built a Full Print on Demand Store in 10 Minutes (No Shopify),https://www.youtube.com/watch?v=K7wkJ55J9b0,https://img.youtube.com/vi/K7wkJ55J9b0/hqdefault.jpg,Ryan Hogue Passive Income,2026-01-28T17:26:23Z,4639,4639,2.77,number,,unclear,"Hook pattern: number | Use elements: speed, specificity"
youtube,z60aMlXEbRM,How to Hire (or Create) Elite Creative Strategists for DTC Brands | Meta Ads & Creative Strategy,https://www.youtube.com/watch?v=z60aMlXEbRM,https://img.youtube.com/vi/z60aMlXEbRM/hqdefault.jpg,D2C Diaries,2026-01-22T17:11:30Z,997,997,2.59,statement,,unclear,Hook pattern: statement
youtube,9K6pq2AIVyo,Latest TRICK to Increase Sales and Orders on Amazon Flipkart Seller Marketplace in 2026,https://www.youtube.com/watch?v=9K6pq2AIVyo,https://img.youtube.com/vi/9K6pq2AIVyo/hqdefault.jpg,ONLINE BERI - Ecommerce Expert,2026-02-01T11:55:29Z,4500,4500,2.51,number,,unclear,Hook pattern: number | Use elements: specificity
youtube,Vx1FCHbsGYY,This is how I hit $500/day as a 1-person Shopify store owner.,https://www.youtube.com/watch?v=Vx1FCHbsGYY,https://img.youtube.com/vi/Vx1FCHbsGYY/hqdefault.jpg,Arie Scherson,2026-01-31T20:22:55Z,2377,2377,2.13,number,greed,unclear,"Hook pattern: number | Use elements: money, specificity"
youtube,DQAXOxURNa0,⭐️ TOP 10 PRODUCTS TO SELL IN FEBRUARY 2026 | DROPSHIPPING SHOPIFY,https://www.youtube.com/watch?v=DQAXOxURNa0,https://img.youtube.com/vi/DQAXOxURNa0/hqdefault.jpg,Ac Hampton,2026-01-29T13:00:24Z,8582,8582,2.11,number,,unclear,Hook pattern: number | Use elements: specificity
